ERROR Deployer failed

Error events found in namespace "apptest-cjbnvn9r"
LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
5s          Warning   FailedMount            pod/apkagent-568cd8f787-cx797                                         MountVolume.SetUp failed for volume "apk-agent-certificates" : secret "apk-agent-server-cert" not found
8s          Warning   BackoffLimitExceeded   job/apptest-cjbnvn9r-deployer                                         Job has reached the specified backoff limit
6s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs      MountVolume.SetUp failed for volume "enforcer-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-enforcer-server-cert" not found
6s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs      MountVolume.SetUp failed for volume "adapter-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-adapter-server-cert" not found
6s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq   MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-common-controller-server-cert" not found
6s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq   MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-ratelimiter-server-cert" not found
6s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq   MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : secret "apptest-cjbnvn9r-wso2-apk-webhook-server-cert" not found
6s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79-jxmbz   MountVolume.SetUp failed for volume "config-ds-tls-volume" : secret "apptest-cjbnvn9r-wso2-apk-config-ds-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn   MountVolume.SetUp failed for volume "adapter-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-adapter-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn   MountVolume.SetUp failed for volume "router-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-gateway-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn   MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-ratelimiter-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn   MountVolume.SetUp failed for volume "enforcer-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-enforcer-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z   MountVolume.SetUp failed for volume "common-controller-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-common-controller-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z   MountVolume.SetUp failed for volume "ratelimiter-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-ratelimiter-server-cert" not found
5s          Warning   FailedMount            pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z   MountVolume.SetUp failed for volume "router-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-gateway-server-cert" not found
