LAST SEEN   TYPE      REASON                  OBJECT                                                                         MESSAGE
9s          Normal    Scheduled               pod/apkagent-d87b99c4b-qxj9j                                                   Successfully assigned apptest-5mjr3ks3/apkagent-d87b99c4b-qxj9j to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
8s          Warning   FailedMount             pod/apkagent-d87b99c4b-qxj9j                                                   MountVolume.SetUp failed for volume "log-conf-volume" : failed to sync configmap cache: timed out waiting for the condition
8s          Warning   FailedMount             pod/apkagent-d87b99c4b-qxj9j                                                   MountVolume.SetUp failed for volume "apk-agent-certificates" : failed to sync secret cache: timed out waiting for the condition
0s          Warning   FailedMount             pod/apkagent-d87b99c4b-qxj9j                                                   MountVolume.SetUp failed for volume "apk-agent-certificates" : secret "apk-agent-server-cert" not found
9s          Normal    SuccessfulCreate        replicaset/apkagent-d87b99c4b                                                  Created pod: apkagent-d87b99c4b-qxj9j
10s         Normal    ScalingReplicaSet       deployment/apkagent                                                            Scaled up replica set apkagent-d87b99c4b from 0 to 1
10s         Normal    Scheduled               pod/apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf                          Successfully assigned apptest-5mjr3ks3/apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf to gke-wso2-apim-gke-test-cpu-pool-583b68cf-21fl
10s         Normal    Pulling                 pod/apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf                          Pulling image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/wso2am-acp:4.5"
10s         Normal    Pulled                  pod/apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf                          Successfully pulled image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/wso2am-acp:4.5" in 485ms (485ms including waiting). Image size: 1220921489 bytes.
10s         Normal    Created                 pod/apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf                          Created container: wso2am-control-plane
10s         Normal    Started                 pod/apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf                          Started container wso2am-control-plane
11s         Normal    SuccessfulCreate        replicaset/apptest-5mjr3ks3-acp-deployment-1-6b454874d                         Created pod: apptest-5mjr3ks3-acp-deployment-1-6b454874d-qxzkf
11s         Normal    ScalingReplicaSet       deployment/apptest-5mjr3ks3-acp-deployment-1                                   Scaled up replica set apptest-5mjr3ks3-acp-deployment-1-6b454874d from 0 to 1
