ERROR Deployer failed

Error events found in namespace "apptest-9eyndrif"
LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
3s          Warning   FailedMount            pod/apkagent-bdb54d4f9-sx2cs                                          MountVolume.SetUp failed for volume "apk-agent-certificates" : secret "apk-agent-server-cert" not found
14s         Warning   BackoffLimitExceeded   job/apptest-9eyndrif-deployer                                         Job has reached the specified backoff limit
4s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8     MountVolume.SetUp failed for volume "adapter-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-adapter-server-cert" not found
4s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8     MountVolume.SetUp failed for volume "enforcer-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-enforcer-server-cert" not found
2s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-ratelimiter-server-cert" not found
18s         Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "sts-shared-auth-key" : failed to sync secret cache: timed out waiting for the condition
18s         Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "log-conf-volume" : failed to sync configmap cache: timed out waiting for the condition
18s         Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : failed to sync secret cache: timed out waiting for the condition
18s         Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : failed to sync secret cache: timed out waiting for the condition
2s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : secret "apptest-9eyndrif-wso2-apk-webhook-server-cert" not found
2s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s   MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-common-controller-server-cert" not found
4s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-config-ds-deployment-5b859c7798-rskf4   MountVolume.SetUp failed for volume "config-ds-tls-volume" : secret "apptest-9eyndrif-wso2-apk-config-ds-server-cert" not found
3s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw   MountVolume.SetUp failed for volume "router-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-gateway-server-cert" not found
3s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw   MountVolume.SetUp failed for volume "adapter-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-adapter-server-cert" not found
3s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw   MountVolume.SetUp failed for volume "enforcer-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-enforcer-server-cert" not found
2s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw   MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-ratelimiter-server-cert" not found
18s         Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-gateway-runtime-deployment-5b449tmqpw   MountVolume.SetUp failed for volume "enforcer-health-check-volume" : failed to sync configmap cache: timed out waiting for the condition
3s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd   MountVolume.SetUp failed for volume "router-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-gateway-server-cert" not found
2s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd   MountVolume.SetUp failed for volume "ratelimiter-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-ratelimiter-server-cert" not found
2s          Warning   FailedMount            pod/apptest-9eyndrif-wso2-apk-ratelimiter-deployment-5966c885bz97nd   MountVolume.SetUp failed for volume "common-controller-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-common-controller-server-cert" not found
