LAST SEEN   TYPE      REASON                   OBJECT                                                                        MESSAGE
14s         Normal    Scheduled                pod/apkagent-bdb54d4f9-sx2cs                                                  Successfully assigned apptest-9eyndrif/apkagent-bdb54d4f9-sx2cs to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
7s          Warning   FailedMount              pod/apkagent-bdb54d4f9-sx2cs                                                  MountVolume.SetUp failed for volume "apk-agent-certificates" : secret "apk-agent-server-cert" not found
15s         Normal    SuccessfulCreate         replicaset/apkagent-bdb54d4f9                                                 Created pod: apkagent-bdb54d4f9-sx2cs
15s         Normal    ScalingReplicaSet        deployment/apkagent                                                           Scaled up replica set apkagent-bdb54d4f9 from 0 to 1
15s         Normal    Scheduled                pod/apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7                        Successfully assigned apptest-9eyndrif/apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7 to gke-wso2-apim-gke-test-cpu-pool-583b68cf-21fl
15s         Normal    Pulling                  pod/apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7                        Pulling image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/wso2am-acp:4.5"
15s         Normal    Pulled                   pod/apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7                        Successfully pulled image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/wso2am-acp:4.5" in 469ms (469ms including waiting). Image size: 1220921489 bytes.
15s         Normal    Created                  pod/apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7                        Created container: wso2am-control-plane
15s         Normal    Started                  pod/apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7                        Started container wso2am-control-plane
16s         Normal    SuccessfulCreate         replicaset/apptest-9eyndrif-acp-deployment-1-69d5775498                       Created pod: apptest-9eyndrif-acp-deployment-1-69d5775498-65hs7
16s         Normal    ScalingReplicaSet        deployment/apptest-9eyndrif-acp-deployment-1                                  Scaled up replica set apptest-9eyndrif-acp-deployment-1-69d5775498 from 0 to 1
21s         Normal    NoPods                   poddisruptionbudget/apptest-9eyndrif-acp-pdb                                  No matching pods found
47s         Normal    Scheduled                pod/apptest-9eyndrif-deployer-fs226                                           Successfully assigned apptest-9eyndrif/apptest-9eyndrif-deployer-fs226 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
47s         Normal    Pulling                  pod/apptest-9eyndrif-deployer-fs226                                           Pulling image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/deployer:4.5"
46s         Normal    Pulled                   pod/apptest-9eyndrif-deployer-fs226                                           Successfully pulled image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/deployer:4.5" in 1.521s (1.521s including waiting). Image size: 130478503 bytes.
46s         Normal    Created                  pod/apptest-9eyndrif-deployer-fs226                                           Created container: deployer
46s         Normal    Started                  pod/apptest-9eyndrif-deployer-fs226                                           Started container deployer
48s         Normal    SuccessfulCreate         job/apptest-9eyndrif-deployer                                                 Created pod: apptest-9eyndrif-deployer-fs226
10s         Warning   BackoffLimitExceeded     job/apptest-9eyndrif-deployer                                                 Job has reached the specified backoff limit
15s         Normal    Scheduled                pod/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8             Successfully assigned apptest-9eyndrif/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
8s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8             MountVolume.SetUp failed for volume "adapter-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-adapter-server-cert" not found
8s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8             MountVolume.SetUp failed for volume "enforcer-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-enforcer-server-cert" not found
15s         Normal    SuccessfulCreate         replicaset/apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5            Created pod: apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5-r5hj8
16s         Normal    ScalingReplicaSet        deployment/apptest-9eyndrif-wso2-apk-adapter-deployment                       Scaled up replica set apptest-9eyndrif-wso2-apk-adapter-deployment-68cfd86db5 from 0 to 1
15s         Normal    SuccessfulCreate         replicaset/apptest-9eyndrif-wso2-apk-common-controller-deployment-97d849d4c   Created pod: apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s
14s         Normal    Scheduled                pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           Successfully assigned apptest-9eyndrif/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
6s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-ratelimiter-server-cert" not found
14s         Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "sts-shared-auth-key" : failed to sync secret cache: timed out waiting for the condition
14s         Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "log-conf-volume" : failed to sync configmap cache: timed out waiting for the condition
14s         Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : failed to sync secret cache: timed out waiting for the condition
14s         Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : failed to sync secret cache: timed out waiting for the condition
6s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : secret "apptest-9eyndrif-wso2-apk-webhook-server-cert" not found
6s          Warning   FailedMount              pod/apptest-9eyndrif-wso2-apk-common-controller-deployment-97db9n6s           MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : secret "apptest-9eyndrif-wso2-apk-common-controller-server-cert" not found
